"","TRAP","EKATTE","Name_en","distToTown","azimuth"
"159",8372,"44118","Lozenets",2553.95948174699,264.151291082867
"160",8373,"44118","Lozenets",2600.651558762,263.623421986921
"161",8149,"11661","Vodenichane",2393.90167551724,208.71443139478
"162",8374,"44118","Lozenets",2658.31000496841,263.721082909849
"163",8375,"44118","Lozenets",2712.75677787539,263.60054860913
"164",8376,"44118","Lozenets",2773.97315957137,264.189809668001
"165",8377,"44118","Lozenets",2847.84947851734,262.86160708294
"166",8150,"11661","Vodenichane",1650.13632147915,220.029781423079
"167",8378,"44118","Lozenets",2742.52374992374,262.396190564996
"168",8379,"44118","Lozenets",2656.14562742557,261.190625326269
"169",8380,"44118","Lozenets",2651.83377546713,260.219589225093
"170",8381,"44118","Lozenets",2924.80130489541,261.381387551851
"171",8151,"69660","Straldzha",3786.63218604629,328.504953472877
"172",8152,"69660","Straldzha",4327.65603656153,313.992932085783
"173",8153,"69660","Straldzha",2345.04826887467,350.482910039659
"174",8382,"44118","Lozenets",2894.24940353392,242.998866106841
"175",8154,"69660","Straldzha",1882.30395937219,84.9886385131484
"176",8383,"44118","Lozenets",2192.26441511747,233.787142123032
"177",8384,"44118","Lozenets",1961.60999348711,232.595502549847
"178",8385,"44118","Lozenets",1910.00222431011,235.238608922324
"179",8155,"69660","Straldzha",1687.92282865298,175.814846341509
"180",8386,"44118","Lozenets",1885.81073562973,236.753505907474
"181",8156,"69660","Straldzha",1618.86504217623,198.997000831569
"182",8387,"65406","Saransko",2046.26552994882,116.94615011214
"183",8157,"65406","Saransko",1708.28591958706,135.255805049914
"184",8388,"65406","Saransko",2065.14220608331,114.275469784088
"185",8389,"65406","Saransko",2112.52519565135,114.081032104228
"186",8158,"72076","Tamarino",3531.69233546835,202.934467941182
"187",8159,"72076","Tamarino",1333.01203105045,45.1677553291996
"188",8160,"65406","Saransko",1612.16374516847,200.625285491165
"189",8161,"65406","Saransko",1583.01281837165,212.120563338495
"190",8162,"65406","Saransko",791.740345994147,194.520949563194
"191",8163,"65406","Saransko",768.335170193684,66.4850665975196
"192",8165,"65406","Saransko",1099.12033372964,11.4302406132786
"193",8166,"65406","Saransko",1116.06687739676,10.0180342491559
"194",8167,"65406","Saransko",1746.66632154483,51.9449127744989
"195",8168,"65406","Saransko",1668.38112481251,52.4028705053894
"196",8169,"65406","Saransko",1579.19696461356,52.0313382093505
"197",8200,"06001","Boyanovo",4627.5993732734,117.396130002758
