TRAP,Source,Type,LU_Around,LU_Top,DiameterMax,HeightMax,Condition,PrincipalSourceOfImpact,distTown,elevAster,slopeAster,aspectAster,prom250mbuff,TPI,TRI,rough,northing,easting
9337,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,40,0.5,5,Agriculture,1735.4725757094402,156.91607666015625,2.9637309633447724,148.8926908899278,48.2,0.3296318054199219,1.1143875122070313,3.9477996826171875,4681831.5141,439275.541
9071,Legacy verification,Burial Mound,Pasture,Pasture,50,1.5,4,Construction,549.2084495635067,152.84046936035156,1.8796816094650826,229.14754050474176,38.04,0.0028324127197265625,0.6390018463134766,2.58203125,4680948.6004,438130.0612
9070,Legacy verification,Burial Mound,Scrub,Forest,30,NA,5,Bioturbation,1921.5563326082995,241,1.2351220217069607,275.258935758838,92.81,0.4933204650878906,0.4933204650878906,0.9982757568359375,4677155.1918,440813.5304
9334,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,40,1.9,4,Agriculture,1650.937130468952,224.62367248535156,1.0251964298401546,73.08859345855456,27.54,0.06766510009765625,0.38802337646484375,1.3689422607421875,4677041.7044,442827.3811
9335,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,20,1,5,Agriculture,2035.3843791688057,228.30825805664062,3.4497983021394667,7.40121569777004,72.99,0.1762065887451172,1.363809585571289,4.212005615234375,4677131.1669,443543.6336
9332,Legacy verification,Burial Mound,Pasture,Pasture,40,4,5,Looting,620.1964838675619,243.59814453125,1.8420840095214601,283.5845405398197,84.06,0.496063232421875,0.654052734375,2.1214752197265625,4675606.4448,440891.5458
9130,Legacy verification,Burial Mound,Annual agriculture,Scrub,25,1.5,2,road,1742.8062954454972,192.2524871826172,0.8255686530750393,15.491700271186135,13.62,0.019378662109375,0.3665313720703125,1.5189666748046875,4669995.3294,449990.9936
9128,Legacy verification,Burial Mound,Pasture,Pasture,28,4.5,5,Looting,1792.0450211698558,189.59609985351562,2.3011538897264803,216.18324227215479,43.12,0.2130126953125,0.9138984680175781,2.8605194091796875,4670538.2762,449595.9345
9131,Legacy verification,Burial Mound,Pasture,Pasture,20,4,3,Looting,2672.3122863030194,173.88754272460937,0.9001258339561439,271.80966765495936,50.36,0.7503566741943359,0.9192066192626953,2.5716705322265625,4669550.895,449150.8975
9230,Legacy verification,Burial Mound,Pasture,Pasture,25,2,4,Looting,1981.0924101574178,193.36277770996094,4.079937445389965,125.25346341984415,15.16,-0.24228668212890625,1.3302383422851562,5.3797607421875,4670397.4116,447195.6534
